turma;resposta;sentimento;justificativa
UFSC-EMB5600_01602_01605-2025-1-1;Programação é surpreendentemente legal, ainda mais pra uma disciplina de ensino superior.;Positiva;O sentimento final foi escolhido como positivo porque o estudante expressa entusiasmo e apreciação pela disciplina de programação.
UFSC-EMB5600_01602_01605-2025-1-1;Estou achando interessante. Estava receosa por que sou leiga com computadores, mas o ritmo que a professora está conduzindo as aulas e a forma que ela explica são muito bons e não estou me sentindo prejudicada ou confusa.;Positiva;O sentimento final foi escolhido como Positiva, pois a estudante destaca aspectos favoráveis sobre a aula e a professora, apesar de expressar uma preocupação inicial.
UFSC-EMB5600_01602_01605-2025-1-1;A disciplina de programação 1 e desafiadora, mais eu sinto um pouco mais lenta do que as demais, mas eu entendo que por ter muita gente que não tem um PC em casa ou um note, mais eu sei que ser for muito rápido muita gente acaba não entendendo.;Misto;O texto apresenta tanto um reconhecimento do desafio da disciplina quanto uma crítica à sua lentidão, resultando em sentimentos mistos.
UFSC-EMB5600_01602_01605-2025-1-1;Indiferente por enquanto, muito do conteúdo apresentado no momento eu já sei, pois cursei programação no ensino médio;Neutra;O texto expressa uma opinião sem carga emocional clara, apenas informando que o estudante já possui conhecimento sobre o conteúdo.
UFSC-EMB5600_01602_01605-2025-1-1;Muito satisfeita. Mesmo que já tenha o Técnico em Informática, tinha algumas dúvidas que foram respondidas nas aulas. Gosto da didática e da dinâmica da aula, acho que funciona bem. Estou bastante satisfeita com as aulas;Positiva;O sentimento final foi escolhido como Positiva, pois a estudante expressa satisfação e elogios em relação às aulas, apesar de mencionar dúvidas que foram esclarecidas.
UFSC-EMB5600_01602_01605-2025-1-1;"Programação é uma matéria da qual tenho bastante apreço e curiosidade, e nessa ansiedade por conhecimento, ainda aguardo ansionamente para por a &quot;mão na massa&quot; e começar pelo &quot;hello world!&quot;. Mesmo assim, entendo o ritmo mais devagar das primeiras aulas e a didática que isso oferece, porém continuo saindo de cada aula com aquele gosto de &quot;quero mais&quot;.";Misto;O sentimento final foi escolhido como 'Misto' porque o texto expressa tanto apreço e curiosidade pela programação quanto uma crítica ao ritmo das aulas.
UFSC-EMB5600_01602_01605-2025-1-1;Até esse momento gostei do que vi nas aulas de programação. Gosto da didática da professora Viviane e da forma como ela desenvolve a aula. Meu aprendizado tem sido otimizado e estou animado para a continuação das aulas.;Positiva;O sentimento final foi escolhido como positivo, pois o texto expressa satisfação e elogios em relação às aulas e à professora.
UFSC-EMB5600_01602_01605-2025-1-1;Materiais muito didáticos e bem explicativos que somados com as aulas da professora contribuem para um compreendi mento total da disciplina sem quaisquer dúvidas até o momento.;Positiva;O sentimento final foi escolhido como positivo devido aos elogios aos materiais didáticos e à contribuição das aulas para o entendimento da disciplina.
UFSC-EMB5600_01602_01605-2025-1-1;Estou gostando, parece muito interessante e por enquanto estou entendendo bem e conseguindo fazer os exercícios.;Positiva;O sentimento final foi escolhido como positivo, pois o estudante expressa satisfação e compreensão em relação ao conteúdo e aos exercícios.
UFSC-EMB5600_01602_01605-2025-1-1;por estar nas primeiras aulas ainda n tenho uma opinião formada, por ainda n ter tido contato com novas informações.;Neutra;O texto expressa uma falta de opinião e contato com informações, sem apresentar sentimentos positivos ou negativos claros.
UFSC-EMB5600_01602_01605-2025-1-1;Gosto muito do método de ensino utilizado, as aulas no laboratório ajudam muito na compreensão do conteúdo. Mesmo eu não sabendo nada sobre programação, estou aprendendo tudo. É ótimo.;Positiva;O texto expressa satisfação com o método de ensino e a eficácia das aulas, sem apresentar críticas ou aspectos desfavoráveis.
UFSC-EMB5600_01602_01605-2025-1-1;Eu nunca havia tido qualquer forma de contato com programação, então inciei essa matéria com um pouco de receio, porém até agora estou achando bastante interessante e mesmo sem experiência prévia estou conseguindo acompanhar bem os conteúdos. Logo, estou me sentindo muito bem em relação à disciplina.;Positiva;O sentimento final foi escolhido como Positiva, pois a satisfação e o interesse na disciplina superam o receio inicial.
UFSC-EMB5600_01602_01605-2025-1-1;me sinto animada pra aprender mais sobre programação e relembrar algumas coisas que já aprendi em cursos anteriores;Positiva;O sentimento final foi escolhido como positivo porque expressa animação e entusiasmo em aprender e relembrar conhecimentos anteriores.
UFSC-EMB5600_01602_01605-2025-1-1;Aulas descontraídas e conteúdo bem explicado. Poucas dúvidas restando.;Positiva;O texto expressa satisfação com as aulas e a clareza do conteúdo, sem apresentar críticas ou aspectos desfavoráveis.
UFSC-EMB5600_01602_01605-2025-1-1;Programação sempre foi minha maior vontade de aprender desde antes de entrar na faculdade e realmente estou conhecendo muitas coisas que sempre tinha vontade e por já trabalhar no meio período além da faculdade já utilizo coisas que estou aprendendo nessa matéria em meu ambiente profissional;Positiva;O sentimento final foi escolhido como positivo, pois o texto expressa entusiasmo e satisfação em aprender programação e aplicar o conhecimento no trabalho.
UFSC-EMB5600_01602_01605-2025-1-1;Estou me sentir bem;Positiva;O sentimento final foi escolhido como positivo porque a frase expressa uma sensação de bem-estar.
UFSC-EMB5600_01602_01605-2025-1-1;Nunca tive contado com programação antes, estou gostando da disciplina, apesar de ter dificuldade com a programação em blocos da aula 1.;Misto;O sentimento final foi escolhido como 'Misto' porque há uma apreciação pela disciplina, mas também uma dificuldade mencionada.
UFSC-EMB5600_01602_01605-2025-1-1;Estou fazendo prog pela segunda vez e vejo como uma matéria que abre diversas oportunidades dentro da faculdade principalmente para participar em laboratórios, iniciação científica etc, sempre é um diferencial ter conhecimento em programação;Positiva;O texto expressa uma visão favorável sobre a matéria de programação, destacando suas oportunidades e benefícios sem apresentar críticas ou frustrações.
UFSC-EMB5600_01602_01605-2025-1-1;No começo, Programação 1 parecia um desafio, pela falta de prática e pouco conhecimento sobre, mas eu estou gostando da metodologia e do conteúdo.;Misto;O sentimento final foi escolhido como Misto porque o texto expressa tanto uma crítica inicial em relação à dificuldade da disciplina quanto uma satisfação com a metodologia e o conteúdo.
UFSC-EMB5600_01602_01605-2025-1-1;Disciplina muito interessante com assuntos e atividades que não havia praticado antes, espero aprender bastante e me aprofundar na área.;Positiva;O sentimento final foi escolhido como positivo devido à expressão de interesse e expectativa de aprendizado em relação à disciplina.
UFSC-EMB5600_01602_01605-2025-1-1;Estou satisfeito, pois, a professora e o monitor são muitos atenciosos quanto as dúvidas;Positiva;O sentimento final foi escolhido como Positiva porque o texto expressa satisfação e elogios em relação à atenção da professora e do monitor.
UFSC-EMB5600_01602_01605-2025-1-1;Ate o momento tive uma ótima introdução ao funcionamento de computadores e programação.;Positiva;O sentimento final foi escolhido como positivo devido à expressão de satisfação com a introdução ao tema.
UFSC-EMB5600_01602_01605-2025-1-1;Escolhi Aero pelo gosto em aviação e mecânica, apesar de não ser muito afeiçoado por computadores a disciplina está sendo interessante.;Misto;O sentimento final foi escolhido como Misto porque há uma apreciação pela disciplina e o gosto pela aviação, mas também uma crítica em relação à falta de afinidade com computadores.
UFSC-EMB5600_01602_01605-2025-1-1;Eu me surpreendi positivamente com a disciplina, eu não tinha expectativas altas, via programação como algo chato. Mas eu tenho gostado muito, eu gosto muito de lógica, o que conversa bastante com os conteúdos, se mostrando muito interessante.;Misto;O sentimento final foi escolhido como Misto porque o texto contém tanto elogios à disciplina quanto uma crítica inicial sobre as expectativas e a percepção de programação.
UFSC-EMB5600_01602_01605-2025-1-1;Como alguém que nunca teve contato com programação, apenas com código binário, achei muito boa a didática.;Positiva;O sentimento final foi escolhido como positivo devido ao elogio à didática, que é um aspecto favorável da experiência do estudante.
UFSC-EMB5600_01602_01605-2025-1-1;Estou me sentindo muito satisfeito em relação à disciplina. As aulas são bem preparadas pois contam com aulas teóricas e práticas. A disciplina oferece desafios tangíveis além de suporte adequado para tirar dúvidas com os professores e monitores. Estou gostando dos conteúdos e espero que eles estejam adequados aos requisitos do mercado de trabalho. Além do conteúdo abordado em sala existem vídeo aulas e listas de exercícios, ambos são complementos fundamentais para a retenção do conhecimento. As aulas práticas contam com um ambiente excelente com ótimos computadores e um ambiente agradável. As aulas teóricas contam com uma sala bem equipada com projetor e ambiente agradável.;Positiva;O sentimento final foi escolhido como 'Positiva' devido à forte satisfação expressa em relação à disciplina e aos aspectos favoráveis mencionados sobre as aulas e o ambiente.
UFSC-EMB5600_01602_01605-2025-1-1;Estou me sentindo bem quanto à disciplina porque é testado na prática os diversos conteúdos das aulas e isso me dá uma perspectiva mais ampla sobre o propósito da disciplina;Positiva;O sentimento final foi escolhido como Positiva porque o texto expressa satisfação e apreciação em relação à disciplina e ao método de ensino.
UFSC-EMB5600_01602_01605-2025-1-1;Estou achando muito devagar, pensei que já estaríamos aprendendo os primeiros códigos;Misto;O estudante expressa frustração com a velocidade do aprendizado, mas não há elementos positivos que contrabalançam essa crítica.
UFSC-EMB5600_01602_01605-2025-1-1;Moderadamente perdido;Negativa;O termo 'perdido' indica uma sensação de confusão ou desorientação, o que é um aspecto desfavorável.
UFSC-EMB5600_01602_01605-2025-1-1;Nunca tive contato com programação antes, estou aprendendo e gosto da disciplina, posso acabar tendo um pouco de dificuldade mas estou disposta a melhorar.;Misto;O sentimento final foi escolhido como 'Misto' porque há uma expressão de gosto pela disciplina, mas também uma menção a possíveis dificuldades.
UFSC-EMB5600_01602_01605-2025-1-1;Estou me sentido muito satisfeita porque as aulas são bem informativas, bem explicadas e dinâmicas. Estou me reconhecendo com o assunto e gostando da metodologia aplicada.;Positiva;O sentimento final foi escolhido como positivo devido à expressão de satisfação e apreciação em relação às aulas e à metodologia.
UFSC-EMB5648_01606-2025-1-1;Bem, foi um conteúdo que já tive em outros cursos.;Neutra;O texto apresenta uma informação sobre o conteúdo sem expressar sentimentos positivos ou negativos claros.
UFSC-EMB5648_01606-2025-1-1;No início eu estava bem animado para a disciplina, porém nas primeiras aulas eu demorei para me adaptar com o CS e achei que a disciplina era mais difícil do que realmente é, no fim, depois de organizar os meus estudos, voltei a me animar com a disciplina.;Misto;O texto apresenta sentimentos positivos sobre a animação com a disciplina e negativos sobre a dificuldade e adaptação, resultando em um sentimento misto.
UFSC-EMB5648_01606-2025-1-1;Interessado;Positiva;O termo 'interessado' indica uma atitude positiva em relação ao assunto mencionado.
UFSC-EMB5648_01606-2025-1-1;Ansioso;Negativa;O termo 'ansioso' expressa um estado emocional negativo, indicando preocupação ou nervosismo.
UFSC-EMB5648_01606-2025-1-1;Bem, não é uma disciplina que eu encontro dificuldades em aprender e consigo entender o que é proposto tranquilamente e quaisquer dúvidas são sanadas ao olhar o material disponibilizado e praticar o que foi proposto em sala.;Positiva;O sentimento final foi escolhido como Positiva, pois o texto expressa satisfação e facilidade em aprender a disciplina, sem apresentar críticas ou frustrações.
UFSC-EMB5648_01606-2025-1-1;Uma disciplina muito interessante no qual aprendemos sobre programação;Positiva;O sentimento final foi escolhido como positivo devido à expressão de interesse e aprendizado na disciplina.
UFSC-EMB5648_01606-2025-1-1;Eu estou gostando das aulas, mas estou com um pouco de medo de não conseguir fazer as atividades.;Misto;O sentimento final foi escolhido como Misto porque há uma expressão de satisfação em relação às aulas, mas também uma preocupação em relação às atividades.
UFSC-EMB5648_01606-2025-1-1;Um rico conhecimento tem sido passado pelo professor, de forma clara e prática, com exemplos e atividades em sala promovidas a cada conteúdo administrado. Estou satisfeito.;Positiva;O sentimento final foi escolhido como positivo devido à satisfação expressa e à descrição favorável sobre a didática do professor.
UFSC-EMB5648_01606-2025-1-1;Para mim é de certa forma desafiador, porém uma disciplina muito interessante.;Misto;O texto expressa um desafio, que é um aspecto negativo, mas também destaca o interesse pela disciplina, resultando em sentimentos mistos.
UFSC-EMB5648_01606-2025-1-1;estou gostando bastante, uma matéria interessante e bem importante para o desenvolvimento de nós alunos;Positiva;O sentimento final foi escolhido como positivo devido à expressão de satisfação e apreciação pela matéria.
UFSC-EMB5648_01606-2025-1-1;Sobre a matéria programação, inicialmente estou achando complicada, porque nunca tive contato com esse tipo de disciplina antes, mas com o tempo e prática, acredito que o processo deve ficar mais leve. Só fico com receio em relação as provas. Mas em geral, as aulas estão boas e as avidades aplicadas e listas estão ajudando muito a aprendizagem.;Misto;O sentimento final foi escolhido como 'Misto' porque o texto apresenta tanto aspectos positivos sobre as aulas e a aprendizagem quanto preocupações e dificuldades em relação à disciplina e às provas.
UFSC-EMB5648_01606-2025-1-1;Um pouco surpresa com a nova didática referente ao ensino da disciplina. Já possuo conhecimento sobre a área da programação (em diferentes linguagens), mas nunca estudei de modo aprofundado a arquitetura computacional e nem me aprofundei em lógica de programação. Acredito que estudando bem as bases da disciplina, poderei alcançar bons resultados. Me sinto otimista, mas não posso negar que me sinto ansiosa frente a esse novo desafio, no que concerne meus desempenhos nessa área.;Misto;O sentimento final foi escolhido como Misto porque o texto expressa tanto otimismo em relação ao aprendizado quanto ansiedade e surpresa em relação à nova didática.
UFSC-EMB5648_01606-2025-1-1;Estou gostando bastante, matéria importante apesar de muitos acharem ela inutil, esses que estão enganados;Misto;O texto expressa satisfação com a matéria, mas também menciona uma crítica sobre a percepção negativa de outros estudantes.
UFSC-EMB5648_01606-2025-1-1;Indiferente, não é algo novo pra mim;Neutra;O texto expressa uma falta de emoção ou opinião clara, indicando uma posição neutra em relação ao assunto.
UFSC-EMB5648_01606-2025-1-1;Estou confiante;Positiva;O sentimento final foi escolhido como positivo porque a expressão 'estou confiante' transmite uma sensação de segurança e otimismo.
UFSC-EMB5648_01606-2025-1-1;Já entendo um pouco de programação, mas nunca tinha estudado por essa parte de funcionamento de computadores e sistemas, gostei muito da didática.;Misto;O texto apresenta um elogio à didática, mas também menciona a falta de experiência em uma parte do conteúdo, resultando em sentimentos mistos.
UFSC-EMB5648_01606-2025-1-1;Já passei pela disciplina num curso de programação numa escola americana e eu sinto não estar entendendo muita coisa aqui, mas compreendo, porque já vi antes, então não faço ideia de como me sentir, talvez eu seja uma farsa (incompreensão genuína).;Misto;O texto apresenta tanto uma compreensão prévia que é positiva, quanto uma frustração em relação à dificuldade de entendimento, resultando em sentimentos mistos.
UFSC-EMB5648_01606-2025-1-1;Estou satisfeito;Positiva;O sentimento final foi escolhido como positivo porque a frase expressa satisfação.
UFSC-EMB5648_01606-2025-1-1;Gostei bastante. Professor sabe bem explicar a matéria;Positiva;O sentimento final foi escolhido como positivo devido à expressão de satisfação e elogio ao professor e à sua capacidade de explicar a matéria.
UFSC-EMB5648_01606-2025-1-1;Estou me sentindo satisfeito em relação a disciplina, aprendendo muita informação relevante e de alta qualidade!;Positiva;O sentimento final foi escolhido como positivo porque o texto expressa satisfação e apreciação pela disciplina e pelo aprendizado.
UFSC-EMB5648_01606-2025-1-1;Bem;Positiva;O termo 'Bem' indica um sentimento positivo, sugerindo satisfação ou aprovação.
UFSC-EMB5648_01606-2025-1-1;com expectativas, sempre quis aprender a progamar, mas sei que vai ser dificil então também to ansioso;Misto;O texto expressa tanto a expectativa positiva de aprender a programar quanto a preocupação com a dificuldade, resultando em sentimentos mistos.
UFSC-EMB5648_01606-2025-1-1;Pra mim que sou muito leigo nesse assunto, eu sinto que a explicação do professor, junto da matéria que é passada não me deixa confuso.;Positiva;O sentimento final foi escolhido como positivo porque o estudante expressa satisfação com a explicação do professor e a clareza da matéria, apesar de se considerar leigo no assunto.
UFSC-EMB5648_01606-2025-1-1;Acredito que a disciplina tem muito a agregar em minha bagagem acadêmica.;Positiva;O sentimento final foi escolhido como positivo porque a frase expressa uma expectativa favorável em relação à disciplina.
UFSC-EMB5648_01606-2025-1-1;A disciplina de programação, me parece bem apresentada para os alunos, e bem conectada com as funções que a Engenharia Naval exige, me sinto empolgado com essa disciplina, e vejo ela como uma oportunidade de adaptação ao meio digital, o que com prática favorece bastante no mercado de trabalho.;Positiva;O sentimento final foi escolhido como positivo, pois o texto expressa entusiasmo e apreciação pela disciplina de programação, sem apresentar críticas ou aspectos desfavoráveis.
UFSC-EMB5648_01606-2025-1-1;Estou satisfeito, professor e muito atencioso e explica muito bem.;Positiva;O sentimento final foi escolhido como Positiva porque o texto expressa satisfação e elogios ao professor.
UFSC-EMB5648_01606-2025-1-1;Estou gostando bastante da disciplina e das atividades práticas, bem como também o método de ensino. Porém tenho um pouco de receio, pois não tenho tanto conhecimento acerca das ferramentas utilizadas no computador, mas sei que estudando bastante, tudo dará certo.;Misto;O texto expressa satisfação com a disciplina e o método de ensino, mas também revela insegurança em relação ao conhecimento das ferramentas, resultando em um sentimento misto.
UFSC-EMB5648_01606-2025-1-1;Como estou fazendo essa disciplina novamente, imagino que eu possa entender ela 100% para avançar para sua continuidade.;Neutra;O texto expressa uma expectativa sobre o entendimento da disciplina, sem apresentar sentimentos claramente positivos ou negativos.
UFSC-EMB5648_01606-2025-1-1;Estou satisfeito com o modo de ensino da disciplina.;Positiva;O sentimento final foi escolhido como positivo porque expressa satisfação com o ensino da disciplina.
UFSC-EMB5648_01606-2025-1-1;Não tenho muito interesse na área da programação;Negativa;O sentimento final foi escolhido como negativo porque a frase expressa falta de interesse, o que é uma crítica à área da programação.
UFSC-EMB5648_01606-2025-1-1;Estou gostando bastante das aulas, apesar de as vezes encontrar dificuldades na prática do conteúdo teórico.;Misto;O sentimento final foi escolhido como Misto porque há uma expressão de satisfação com as aulas, mas também uma menção a dificuldades enfrentadas.
UFSC-EMB5648_01606-2025-1-1;Tenho algumas dificuldades no quesito de interpretação dentro da logica de programação e isso dificulta muito durante a elaboração de um programa ou sistema, porem deixando de um lado essa dificuldade o professor tem uma boa didática e uma otima explicação do conteúdo.;Misto;O texto apresenta tanto dificuldades na interpretação da lógica de programação quanto elogios à didática do professor, resultando em um sentimento misto.
UFSC-EMB5648_01606-2025-1-1;Por enquanto ainda estou me familiarizando com o assunto, nunca entendi muito bem sobre computadores, mas ao mesmo tempo acho muito interessante, e estou correndo atrás para aprender o conteúdo.;Misto;O sentimento final foi escolhido como Misto porque há uma combinação de frustração em relação à dificuldade de entender o assunto e uma atitude positiva em querer aprender mais.
UFSC-EMB5648_01606-2025-1-1;Ansiedade;Negativa;O sentimento final foi escolhido como negativo porque a palavra 'ansiedade' geralmente está associada a um estado emocional desfavorável.
UFSC-EMB5648_01606-2025-1-1;Satisfeito e entusiasmado, porém com um pouco de dificuldades ainda pois nunca tive contato com a programação. Mas sendo bem sincero, estou gostando das aulas por enquanto e também estou gostando de aprender mais sobre os computadores.;Misto;O sentimento final foi escolhido como 'Misto' porque o estudante expressa satisfação e entusiasmo, mas também menciona dificuldades com a programação.
UFSC-EMB5648_01606-2025-1-1;Está sendo boa até agora com os conceitos mais simples.;Positiva;O sentimento final foi escolhido como positivo porque a frase expressa satisfação com a experiência até o momento.
UFSC-EMB5648_01601_01604-2025-1-1;Os professores estão explicando bem a disiplina.;Positiva;O sentimento final foi escolhido como positivo porque a frase expressa satisfação com a forma como os professores estão explicando a disciplina.
UFSC-EMB5648_01601_01604-2025-1-1;De vez em quando sinto alguma dificuldade para realizar os exercícios propostos, mas o aprendizado está ocorrendo bem.;Misto;O sentimento final foi escolhido como Misto porque há uma expressão de dificuldade, mas também um reconhecimento de que o aprendizado está acontecendo de forma positiva.
UFSC-EMB5648_01601_01604-2025-1-1;Estou gostando da disciplina e dos professores, sinto que estão ajudando e ajudando com as dúvidas;Positiva;O sentimento final foi escolhido como positivo, pois o estudante expressa satisfação com a disciplina e o apoio dos professores.
UFSC-EMB5648_01601_01604-2025-1-1;"Tipo tem algumas coisas que não faz sentido tipo &quot;da uma prova sobre computador simplificado&quot; hoje em dia nem usamos mas isso , e precisamos estudar ainda sobre e apreender para prova";Misto;O texto expressa uma crítica sobre a relevância do conteúdo estudado, mas não apresenta elementos positivos, resultando em um sentimento misto.
UFSC-EMB5648_01601_01604-2025-1-1;Em relação à disciplina de programação, sinto-me satisfeito. Até o momento, as aulas têm sido produtivas e enriquecedoras até agora. A didática do professor, aliada aos exercícios práticos junto com os vídeo que o professsor deixou no moodle, tem me ajudado a compreender os conceitos e a desenvolver habilidades de programação de forma eficaz. A matéria da disciplina é bastante interessante mas dependendo somente das aulas teóricas tornou se difícil compreender devido ao volume de voz do professor, para minha experiência como estrangeiro não tem sido fácil me enquadrar porém para entender alguns conceitos tenho recorrido aos vídeos.;Misto;O sentimento final foi escolhido como 'Misto' devido à presença de aspectos positivos sobre as aulas e a didática do professor, mas também críticas em relação à dificuldade de compreensão e adaptação.
UFSC-EMB5648_01601_01604-2025-1-1;As aulas estão sendo interessantes, a única coisa que não estou gostando/visualizando é a correlação entre o que vimos até agora e a linguagem C, acredito que seria interessante se tivesse explicações durante a aula do uso do que vimos na linguagem que estudaremos.;Misto;O sentimento final foi escolhido como Misto porque há uma apreciação pelas aulas, mas também uma crítica sobre a falta de correlação com a linguagem C.
UFSC-EMB5648_01601_01604-2025-1-1;"Estou tendo muita dificuldade com a programação, eu consigo entender a lógica, mas na hora de por em prática eu tenho dificuldade por que eu tenho que &quot;limitar&quot; a minha lógica para caber dentro das operações ou códigos da linguagem de programação";Misto;O texto expressa tanto uma dificuldade significativa com a programação quanto um reconhecimento da compreensão da lógica, resultando em sentimentos mistos.
UFSC-EMB5648_01601_01604-2025-1-1;Professores bons que entendem da matéria e tiram as duvidas dos alunos. Aulas dinâmicas com bastante conteúdo mas muito bem aproveitadas, dando tempo de explicar todo o conteúdo proposto para aquela aula;Positiva;O sentimento final foi escolhido como positivo, pois o texto destaca várias qualidades favoráveis sobre os professores e as aulas.
UFSC-EMB5648_01601_01604-2025-1-1;Bem, está no início, então estou considerando que mais elementos de progamacão estão por vir, mesmo que o sistema atual para programação(computador simplificado) não seja o melhor para iniciantes;Misto;O texto expressa uma expectativa positiva em relação ao futuro da programação, mas também critica o sistema atual, resultando em sentimentos mistos.
UFSC-EMB5648_01601_01604-2025-1-1;Me anima muito por ser uma área que eu sempre quis aprender.;Positiva;O sentimento final foi escolhido como positivo porque expressa entusiasmo e desejo de aprender sobre a área mencionada.
