Identificação,Selo ,Escala,Resposta,Classificação Manual Pedagoga ,Resumo sobre a turma (GPT) ,Resumo Gemini,Resumo-API-Chat
,,,,,"Positivo: Os estudantes demonstraram alta satisfação com a disciplina, destacando principalmente a excelente didática da professora, descrita como clara, paciente e motivadora, o que torna as aulas leves, dinâmicas e acessíveis. A metodologia de ensino foi amplamente elogiada, com ênfase nas aulas práticas em laboratório, nos materiais bem estruturados e nas atividades interativas, como o jogo da Elsa e o uso de blocos (Scratch), que facilitam o aprendizado de forma lúdica. A abordagem inicial, voltada à lógica de programação antes da introdução de linguagens específicas, foi reconhecida como essencial para construir uma base sólida para disciplinas futuras. Os alunos também ressaltaram que o conteúdo é claro, bem organizado e acessível mesmo a iniciantes, permitindo um bom acompanhamento do ritmo das aulas.
Além disso, a disciplina desperta forte motivação e engajamento, levando muitos alunos a buscar atividades e cursos complementares para se aprofundar. Em geral, a turma avalia que o ensino combina clareza, prática e entusiasmo, resultando em um aprendizado eficaz e prazeroso.","Positivo: A satisfação da turma é elevada e amplamente impulsionada pela didática excepcional da professora, que é elogiada por ser atenciosa, motivadora e por construir uma base sólida em lógica e pensamento computacional antes de avançar para linguagens. A disciplina é altamente valorizada por sua introdução completa, objetiva e didática, garantindo um bom nivelamento inicial. Os alunos destacam o ambiente de aprendizado envolvente, com aulas dinâmicas e o uso de recursos divertidos (como a programação em blocos), além do suporte adequado de monitores e a qualidade dos recursos práticos. O conteúdo é visto como extremamente relevante para o desenvolvimento profissional e para abrir oportunidades futuras na área.",
,,,,,,,
,Primeiro-2025-1,,"Ótimo curso, bem explicado para quem não entende de programação. Professora com didática incrível e extremamente atenciosa.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Primeira vez que aprendo sobre o mundo de programaçao, como futuro engenheiro achei muito interessante aprender como funciona um computador e sua linguagem, esta bem didatico por enquanto",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou satisfeito com a aula, gosto de aprender a lógica e as primeiras etapas da programação.",,,,
,,,,,,,
,Primeiro-2025-1,,"Eu tenho muito pouco contato com programação, portanto para mim está sendo um sentimento novo. Até o momento estou gostando e me adaptando muito bem, buscarei praticar com os materiais disponibilizados e por fora também. Irei dar início a um minicurso de Python disponibilizado pela UFSC, com o intuito de aprender e me aprofundar ainda mais na matéria.",,,,
,,,,,,,
,,,,,,"Negativo: As principais ressalvas da turma se concentram no ritmo inicial da disciplina, que é considerado muito básico ou devagar por alunos que já possuem conhecimento prévio ou estão ansiosos para codificar. Embora a maioria entenda a necessidade do nivelamento, há uma sensação de ""quero mais"" e um desejo de avanço mais rápido. Adicionalmente, alguns alunos iniciantes relataram se sentir inseguros ou ""moderadamente perdidos"" ao se deparar com a programação em blocos no início. Por fim, existe a expectativa futura de que o curso venha a oferecer conhecimentos relacionados a conceitos entrelaçados à programação, como Sistemas Operacionais, Banco de Dados e Redes.",
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"A disciplina até o devido momento esta sendo bem satisfatória, indo de acordo com minhas expectativas; Ademais, minha única ressalva, seria a expectativa de ao decorrer do curso, além de programação, também serem oferecidos conhecimentos relacionados aos conceitos diretamente entrelaçados ao uso da programação, como por exemplo: sistemas operacionais (ex: Linux), protocolos de redes, banco de dados (ex: SGBDs)e sistemas embarcados(ex: dispositivos IoT).",,,,
,,,,,,,
,,,,,,,
,,,,,"Negativo: As observações dos estudantes foram pontuais e construtivas, concentrando-se principalmente no ritmo e na profundidade das aulas. Alguns alunos consideram o início da disciplina muito básico ou lento, especialmente aqueles que já possuem experiência prévia em programação, e manifestaram desejo de avançar mais rapidamente e realizar atividades práticas com códigos. Também houve sugestões para ampliar o escopo da disciplina, incluindo temas como sistemas operacionais, bancos de dados, redes e sistemas embarcados, de modo a aproximar o conteúdo das aplicações práticas e do mercado de trabalho.
Poucos alunos relataram dificuldades iniciais com a programação em blocos ou mencionaram sentir-se um pouco perdidos, mas demonstraram disposição em aprender e acompanhar o ritmo. De forma geral, as críticas refletem interesse e engajamento, indicando que os estudantes desejam aprofundar o aprendizado e explorar novos desafios à medida que o curso avança.",,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Não esperava que tivesse tantas aplicações dessa disciplina em meu curso, a professora que a leciona e ótima e estou conseguindo aprender e me aprofundar nos conteúdos.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"por enquanto estou entusiasmado para aprender a programar, mas ainda não aprendemos tanta coisa, a professora é bem gentil e acredito esta disciplina possa ver bem importante no mercado de trabalho",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"estou ansiosa para entender melhor de programação por saber a importancia disso para o mercado de trabalho, acho que o ritmo da disciplina esta bom",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Neste início de semestre sinto que as aulas estão ainda muito básicas. Mas entendo que um início vagaroso é necessário para um nivelamento na turma acerca dos conhecimentos em programação.,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Até então estou adorando, a aula em que usamos a programação em blocos com certeza foi minha favorita por ser divertida e educativa ao mesmo tempo, rever o scratch foi incrível, a professora também ajuda muito a gostar da matéria, passando um ar mais leve pra algo que poderia assustar alguns que nunca programaram antes.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Sinto que a disciplina, até o momento, está introduzindo de forma bem didática a matéria, promovendo uma base boa e necessária para o que o o currículo do curso exige futuramente (Prog 1 e 2).",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,me sinto animado com os conteudo,,,,
,Primeiro-2025-1,,"Me sinto satisfeito, pois a metodologia de ensino e as praticas são bem efetivas para o aprendizado.",,,,
,,,,,,,
,Primeiro-2025-1,,"Programação é surpreendentemente legal, ainda mais pra uma disciplina de ensino superior.",,,,
,,,,,,,
,Primeiro-2025-1,,"Estou achando interessante. Estava receosa por que sou leiga com computadores, mas o ritmo que a professora está conduzindo as aulas e a forma que ela explica são muito bons e não estou me sentindo prejudicada ou confusa.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"A disciplina de programação 1 e desafiadora, mais eu sinto um pouco mais lenta do que as demais, mas eu entendo que por ter muita gente que não tem um PC em casa ou um note, mais eu sei que ser for muito rápido muita gente acaba não entendendo.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Indiferente por enquanto, muito do conteúdo apresentado no momento eu já sei, pois cursei programação no ensino médio",,,,
,,,,,,,
,Primeiro-2025-1,,"Muito satisfeita. Mesmo que já tenha o Técnico em Informática, tinha algumas dúvidas que foram respondidas nas aulas. Gosto da didática e da dinâmica da aula, acho que funciona bem. Estou bastante satisfeita com as aulas",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Programação é uma matéria da qual tenho bastante apreço e curiosidade, e nessa ansiedade por conhecimento, ainda aguardo ansionamente para por a &quot;mão na massa&quot; e começar pelo &quot;hello world!&quot;. Mesmo assim, entendo o ritmo mais devagar das primeiras aulas e a didática que isso oferece, porém continuo saindo de cada aula com aquele gosto de &quot;quero mais&quot;.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Até esse momento gostei do que vi nas aulas de programação. Gosto da didática da professora Viviane e da forma como ela desenvolve a aula. Meu aprendizado tem sido otimizado e estou animado para a continuação das aulas.,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Materiais muito didáticos e bem explicativos que somados com as aulas da professora contribuem para um compreendi mento total da disciplina sem quaisquer dúvidas até o momento.,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou gostando, parece muito interessante e por enquanto estou entendendo bem e conseguindo fazer os exercícios.",,,,
,,,,,,,
,Primeiro-2025-1,,"por estar nas primeiras aulas ainda n tenho uma opinião formada, por ainda n ter tido contato com novas informações.",,,,
,,,,,,,
,Primeiro-2025-1,,"Gosto muito do método de ensino utilizado, as aulas no laboratório ajudam muito na compreensão do conteúdo. Mesmo eu não sabendo nada sobre programação, estou aprendendo tudo. É ótimo.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Eu nunca havia tido qualquer forma de contato com programação, então inciei essa matéria com um pouco de receio, porém até agora estou achando bastante interessante e mesmo sem experiência prévia estou conseguindo acompanhar bem os conteúdos. Logo, estou me sentindo muito bem em relação à disciplina.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,me sinto animada pra aprender mais sobre programação e relembrar algumas coisas que já aprendi em cursos anteriores,,,,
,,,,,,,
,Primeiro-2025-1,,Aulas descontraídas e conteúdo bem explicado. Poucas dúvidas restando.,,,,
,,,,,,,
,Primeiro-2025-1,,Programação sempre foi minha maior vontade de aprender desde antes de entrar na faculdade e realmente estou conhecendo muitas coisas que sempre tinha vontade e por já trabalhar no meio período além da faculdade já utilizo coisas que estou aprendendo nessa matéria em meu ambiente profissional,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Estou me sentir bem,,,,
,Primeiro-2025-1,,"Nunca tive contado com programação antes, estou gostando da disciplina, apesar de ter dificuldade com a programação em blocos da aula 1.",,,,
,,,,,,,
,Primeiro-2025-1,,"Estou fazendo prog pela segunda vez e vejo como uma matéria que abre diversas oportunidades dentro da faculdade principalmente para participar em laboratórios, iniciação científica etc, sempre é um diferencial ter conhecimento em programação",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"No começo, Programação 1 parecia um desafio, pela falta de prática e pouco conhecimento sobre, mas eu estou gostando da metodologia e do conteúdo.",,,,
,,,,,,,
,Primeiro-2025-1,,"Disciplina muito interessante com assuntos e atividades que não havia praticado antes, espero aprender bastante e me aprofundar na área.",,,,
,,,,,,,
,Primeiro-2025-1,,"Estou satisfeito, pois, a professora e o monitor são muitos atenciosos quanto as dúvidas",,,,
,,,,,,,
,Primeiro-2025-1,,Ate o momento tive uma ótima introdução ao funcionamento de computadores e programação.,,,,
,,,,,,,
,Primeiro-2025-1,,"Escolhi Aero pelo gosto em aviação e mecânica, apesar de não ser muito afeiçoado por computadores a disciplina está sendo interessante.",,,,
,,,,,,,
,Primeiro-2025-1,,"Eu me surpreendi positivamente com a disciplina, eu não tinha expectativas altas, via programação como algo chato. Mas eu tenho gostado muito, eu gosto muito de lógica, o que conversa bastante com os conteúdos, se mostrando muito interessante.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Como alguém que nunca teve contato com programação, apenas com código binário, achei muito boa a didática.",,,,
,,,,,,,
,Primeiro-2025-1,,"Estou me sentindo muito satisfeito em relação à disciplina. As aulas são bem preparadas pois contam com aulas teóricas e práticas. A disciplina oferece desafios tangíveis além de suporte adequado para tirar dúvidas com os professores e monitores. Estou gostando dos conteúdos e espero que eles estejam adequados aos requisitos do mercado de trabalho. Além do conteúdo abordado em sala existem vídeo aulas e listas de exercícios, ambos são complementos fundamentais para a retenção do conhecimento. As aulas práticas contam com um ambiente excelente com ótimos computadores e um ambiente agradável. As aulas teóricas contam com uma sala bem equipada com projetor e ambiente agradável.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Estou me sentindo bem quanto à disciplina porque é testado na prática os diversos conteúdos das aulas e isso me dá uma perspectiva mais ampla sobre o propósito da disciplina,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou achando muito devagar, pensei que já estaríamos aprendendo os primeiros códigos",,,,
,,,,,,,
,Primeiro-2025-1,,Moderadamente perdido,,,,
,Primeiro-2025-1,,"Nunca tive contato com programação antes, estou aprendendo e gosto da disciplina, posso acabar tendo um pouco de dificuldade mas estou disposta a melhorar.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou me sentido muito satisfeita porque as aulas são bem informativas, bem explicadas e dinâmicas. Estou me reconhecendo com o assunto e gostando da metodologia aplicada.",,,,
,,,,,,,
,,,,,,,
,,,UFSC-EMB5648_01606-2025-1-1,,,,
UFSC-EMB5648_01606-2025-1-1,Primeiro-2025-1,,"Bem, foi um conteúdo que já tive em outros cursos.",,"O sentimento predominante entre os estudantes é positivo e motivado, ainda que acompanhado de ansiedade e insegurança iniciais. A maioria demonstra interesse e satisfação com a disciplina, reconhecendo sua importância acadêmica e profissional. Muitos relatam estar gostando das aulas, da didática e das atividades práticas, enquanto alguns mencionam dificuldades naturais por falta de experiência prévia com programação.","O sentimento geral da turma em relação à disciplina é predominantemente positivo, com muitos estudantes expressando interesse, satisfação e entusiasmo. No entanto, há uma parcela significativa que manifesta ansiedade e receio, principalmente devido à natureza desafiadora do conteúdo e à falta de contato prévio com a programação.","Os estudantes demonstram uma variedade de sentimentos e experiências em relação à disciplina de programação, com muitos inicialmente ansiosos ou surpresos, especialmente aqueles sem contato prévio com a área. Embora alguns relatos incluam dificuldades, principalmente em interpretação lógica e práticas, a maioria expressa satisfação com a didática do professor e o conteúdo das aulas, considerando as atividades práticas como ferramentas úteis para a aprendizagem. A motivação para aprender e a percepção da importância da disciplina para o desenvolvimento acadêmico e profissional se destacam, gerando uma expectativa otimista entre os alunos, mesmo diante de desafios e receios em relação às provas e às ferramentas tecnológicas utilizadas. O reconhecimento de que a prática pode facilitar a compreensão e a adaptação ao conteúdo também foi um ponto comum nas respostas, levando muitos a encararem a disciplina como uma oportunidade valiosa, embora alguns ainda se sintam inseguros em suas habilidades."
,Primeiro-2025-1,,"No início eu estava bem animado para a disciplina, porém nas primeiras aulas eu demorei para me adaptar com o CS e achei que a disciplina era mais difícil do que realmente é, no fim, depois de organizar os meus estudos, voltei a me animar com a disciplina.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Interessado,,,,
,Primeiro-2025-1,,Ansioso,,,,
,Primeiro-2025-1,,"Bem, não é uma disciplina que eu encontro dificuldades em aprender e consigo entender o que é proposto tranquilamente e quaisquer dúvidas são sanadas ao olhar o material disponibilizado e praticar o que foi proposto em sala.",,,,
,,,,,,,
,,,,,"Positivo: Os estudantes demonstram satisfação com a disciplina, destacando a clareza e a qualidade da didática do professor, que explica de forma prática e acessível, utilizando exemplos e atividades que facilitam o aprendizado. As aulas e listas de exercícios são vistas como bem estruturadas e contribuem para a fixação dos conteúdos. Muitos alunos consideram a disciplina interessante, relevante e útil para sua formação, especialmente por conectar a programação a aplicações práticas em suas áreas de estudo. Há também reconhecimento do empenho e atenção do professor, o que gera um ambiente de aula motivador e acolhedor. De modo geral, os estudantes sentem que estão aprendendo e evoluindo ao longo do processo, valorizando a oportunidade de adquirir novas habilidades e conhecimentos.","Positivo: O sentimento positivo da turma é amplamente sustentado pela excelência da didática do professor, que é consistentemente elogiado por ser claro, prático, atencioso e por fornecer uma ótima explicação do conteúdo. Os estudantes demonstram interesse, satisfação e entusiasmo generalizados, reconhecendo a disciplina como muito interessante, relevante e portadora de rico conhecimento de alta qualidade. As atividades práticas e o material disponibilizado são vistos como ferramentas úteis que auxiliam significativamente no aprendizado e na consolidação do conteúdo, o que tem levado muitos a se sentirem confiantes e a encarar a matéria como uma importante oportunidade de adaptação e desenvolvimento acadêmico.",
,Primeiro-2025-1,,Uma disciplina muito interessante no qual aprendemos sobre programação,,,,
,Primeiro-2025-1,,"Eu estou gostando das aulas, mas estou com um pouco de medo de não conseguir fazer as atividades.",,,,
,,,,,,,
,Primeiro-2025-1,,"Um rico conhecimento tem sido passado pelo professor, de forma clara e prática, com exemplos e atividades em sala promovidas a cada conteúdo administrado. Estou satisfeito.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Para mim é de certa forma desafiador, porém uma disciplina muito interessante.",,,,
,Primeiro-2025-1,,"estou gostando bastante, uma matéria interessante e bem importante para o desenvolvimento de nós alunos",,,,
,,,,,,,
,Primeiro-2025-1,,"Sobre a matéria programação, inicialmente estou achando complicada, porque nunca tive contato com esse tipo de disciplina antes, mas com o tempo e prática, acredito que o processo deve ficar mais leve. Só fico com receio em relação as provas. Mas em geral, as aulas estão boas e as avidades aplicadas e listas estão ajudando muito a aprendizagem.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Um pouco surpresa com a nova didática referente ao ensino da disciplina. Já possuo conhecimento sobre a área da programação (em diferentes linguagens), mas nunca estudei de modo aprofundado a arquitetura computacional e nem me aprofundei em lógica de programação. Acredito que estudando bem as bases da disciplina, poderei alcançar bons resultados. Me sinto otimista, mas não posso negar que me sinto ansiosa frente a esse novo desafio, no que concerne meus desempenhos nessa área.",,"Negativo: Apesar da percepção positiva, alguns alunos relataram ansiedade e insegurança diante dos desafios da programação, especialmente nas primeiras aulas. A falta de familiaridade com o tema e o domínio limitado das ferramentas computacionais geram dificuldades na prática e compreensão da lógica de programação. Também há medo de não conseguir acompanhar o ritmo das atividades e provas, o que reforça o sentimento de apreensão. Além disso, alguns estudantes mencionam falta de interesse pessoal ou indiferença por já terem visto conteúdos semelhantes em outros cursos, o que reduz o engajamento em sala.","Negativo: O principal desafio reside na ansiedade e no receio manifestados por uma parte significativa da turma, decorrentes majoritariamente da falta de contato prévio com a programação. Isso se traduz em um medo de não conseguir acompanhar as atividades ou ter um desempenho insatisfatório em provas. A matéria é percebida como desafiadora e complicada inicialmente, com dificuldades notáveis na interpretação da lógica de programação e na transição da teoria para a prática. Alguns estudantes também expressam receio em relação às ferramentas utilizadas ou levam tempo para se familiarizar com o assunto, enquanto uma minoria já demonstra indiferença por ter tido o conteúdo em cursos anteriores ou por não ter interesse na área.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou gostando bastante, matéria importante apesar de muitos acharem ela inutil, esses que estão enganados",,,,
,,,,,,,
,Primeiro-2025-1,,"Indiferente, não é algo novo pra mim",,,,
,Primeiro-2025-1,,Estou confiante,,,,
,Primeiro-2025-1,,"Já entendo um pouco de programação, mas nunca tinha estudado por essa parte de funcionamento de computadores e sistemas, gostei muito da didática.",,,,
,,,,,,,
,Primeiro-2025-1,,"Já passei pela disciplina num curso de programação numa escola americana e eu sinto não estar entendendo muita coisa aqui, mas compreendo, porque já vi antes, então não faço ideia de como me sentir, talvez eu seja uma farsa (incompreensão genuína).",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Estou satisfeito,,,,
,Primeiro-2025-1,,Gostei bastante. Professor sabe bem explicar a matéria,,,,
,Primeiro-2025-1,,"Estou me sentindo satisfeito em relação a disciplina, aprendendo muita informação relevante e de alta qualidade!",,,,
,,,,,,,
,Primeiro-2025-1,,Bem,,,,
,Primeiro-2025-1,,"com expectativas, sempre quis aprender a progamar, mas sei que vai ser dificil então também to ansioso",,,,
,,,,,,,
,Primeiro-2025-1,,"Pra mim que sou muito leigo nesse assunto, eu sinto que a explicação do professor, junto da matéria que é passada não me deixa confuso.",,,,
,,,,,,,
,Primeiro-2025-1,,Acredito que a disciplina tem muito a agregar em minha bagagem acadêmica.,,,,
,Primeiro-2025-1,,"A disciplina de programação, me parece bem apresentada para os alunos, e bem conectada com as funções que a Engenharia Naval exige, me sinto empolgado com essa disciplina, e vejo ela como uma oportunidade de adaptação ao meio digital, o que com prática favorece bastante no mercado de trabalho.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Estou satisfeito, professor e muito atencioso e explica muito bem.",,,,
,Primeiro-2025-1,,"Estou gostando bastante da disciplina e das atividades práticas, bem como também o método de ensino. Porém tenho um pouco de receio, pois não tenho tanto conhecimento acerca das ferramentas utilizadas no computador, mas sei que estudando bastante, tudo dará certo.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Como estou fazendo essa disciplina novamente, imagino que eu possa entender ela 100% para avançar para sua continuidade.",,,,
,,,,,,,
,Primeiro-2025-1,,Estou satisfeito com o modo de ensino da disciplina.,,,,
,Primeiro-2025-1,,Não tenho muito interesse na área da programação,,,,
,Primeiro-2025-1,,"Estou gostando bastante das aulas, apesar de as vezes encontrar dificuldades na prática do conteúdo teórico.",,,,
,,,,,,,
,Primeiro-2025-1,,"Tenho algumas dificuldades no quesito de interpretação dentro da logica de programação e isso dificulta muito durante a elaboração de um programa ou sistema, porem deixando de um lado essa dificuldade o professor tem uma boa didática e uma otima explicação do conteúdo.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Por enquanto ainda estou me familiarizando com o assunto, nunca entendi muito bem sobre computadores, mas ao mesmo tempo acho muito interessante, e estou correndo atrás para aprender o conteúdo.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Ansiedade,,,,
,Primeiro-2025-1,,"Satisfeito e entusiasmado, porém com um pouco de dificuldades ainda pois nunca tive contato com a programação. Mas sendo bem sincero, estou gostando das aulas por enquanto e também estou gostando de aprender mais sobre os computadores.",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,Está sendo boa até agora com os conceitos mais simples.,,,,
,,,UFSC-EMB5648_01601_01604-2025-1-1,,,,
UFSC-EMB5648_01601_01604-2025-1-1,Primeiro-2025-1,,Os professores estão explicando bem a disiplina.,,"De modo geral, o sentimento predominante entre os estudantes é positivo. A maioria demonstra interesse, curiosidade e satisfação com o andamento da disciplina, reconhecendo o empenho dos professores, a clareza das explicações e a organização das aulas. Muitos alunos expressam entusiasmo por aprender programação, especialmente por considerarem a área importante para o desenvolvimento do raciocínio lógico e para o futuro profissional. Há também relatos de motivação por parte dos que já tinham afinidade prévia com o tema, e reconhecimento da boa didática e da divisão equilibrada entre teoria e prática. Por outro lado, alguns alunos mencionam dificuldades naturais de aprendizagem, especialmente na aplicação prática da lógica de programação, no uso do “computador simplificado”, e na compreensão do conteúdo teórico quando há barreiras como volume de voz ou linguagem estrangeira.
Também aparecem comentários sobre a necessidade de maior integração entre teoria e a linguagem C, aulas mais dinâmicas, e maior estímulo para quem não tem afinidade com programação.",,
,Primeiro-2025-1,,"De vez em quando sinto alguma dificuldade para realizar os exercícios propostos, mas o aprendizado está ocorrendo bem.",,,"O sentimento geral da turma em relação à disciplina é predominantemente positivo e de satisfação, com entusiasmo notável pela área de programação. Há um reconhecimento significativo da qualidade do ensino e da importância da matéria para o desenvolvimento profissional e raciocínio lógico. Contudo, há desafios pontuais relacionados a metodologias específicas e dificuldades iniciais de aprendizado.","Os estudantes estão enfrentando algumas dificuldades pontuais nos exercícios e na prática da programação, mas, de um modo geral, expressam satisfação em relação à disciplina e aos professores, que são vistos como eficazes na resolução de dúvidas e na transmissão de conhecimento. A didática e as aulas dinâmicas têm contribuído para a compreensão dos conceitos, embora haja pedidos por uma maior correlação entre o conteúdo teórico e a prática na linguagem de programação C. Há também alunos que se sentem perdidos ou ansiosos, especialmente por serem estrangeiros ou por não terem afinidade prévia com a programação, mas a maioria reconhece a importância do aprendizado de linguagens de programação para o desenvolvimento profissional. Alguns estudantes se mostram entusiasmados e empolgados com a disciplina, considerando-a interessante e digna de continuidade, enquanto outros solicitam um ritmo de aulas mais acelerado e dinâmico. A experiência até agora está sendo, portanto, uma mistura de desafios e descobertas positivas, com o reconhecimento de que ainda há um caminho a percorrer."
,,,,,,,
,Primeiro-2025-1,,"Estou gostando da disciplina e dos professores, sinto que estão ajudando e ajudando com as dúvidas",,,,
,Primeiro-2025-1,,"Tipo tem algumas coisas que não faz sentido tipo &quot;da uma prova sobre computador simplificado&quot; hoje em dia nem usamos mas isso , e precisamos estudar ainda sobre e apreender para prova",,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"Em relação à disciplina de programação, sinto-me satisfeito. Até o momento, as aulas têm sido produtivas e enriquecedoras até agora. A didática do professor, aliada aos exercícios práticos junto com os vídeo que o professsor deixou no moodle, tem me ajudado a compreender os conceitos e a desenvolver habilidades de programação de forma eficaz. A matéria da disciplina é bastante interessante mas dependendo somente das aulas teóricas tornou se difícil compreender devido ao volume de voz do professor, para minha experiência como estrangeiro não tem sido fácil me enquadrar porém para entender alguns conceitos tenho recorrido aos vídeos.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Primeiro-2025-1,,"As aulas estão sendo interessantes, a única coisa que não estou gostando/visualizando é a correlação entre o que vimos até agora e a linguagem C, acredito que seria interessante se tivesse explicações durante a aula do uso do que vimos na linguagem que estudaremos.",,,,
,,,,,,,
,,,,,,,
,,,,,,,
